old,new,id
Cordylogyne_globosa_PAFTOL027237,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Cordylogyne_globosa_PAFTOL027237,67
Fanninia_caloglossa_PAFTOL027239,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Fanninia_caloglossa_PAFTOL027239,109
Glossostelma_spathulatum_PAFTOL031799,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Glossostelma_spathulatum_PAFTOL031799,122
Kanahia_laniflora_PAFTOL031769,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Kanahia_laniflora_PAFTOL031769,143
Margaretta_rosea_PAFTOL031807,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Margaretta_rosea_PAFTOL031807,162
Miraglossum_pulchellum_PAFTOL031898,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Miraglossum_pulchellum_PAFTOL031898,186
Pachycarpus_grandiflorus_PAFTOL031775,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Pachycarpus_grandiflorus_PAFTOL031775,213
Parapodium_costatum_PAFTOL031777,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Parapodium_costatum_PAFTOL031777,218
Periglossum_mkenii_PAFTOL031693,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Periglossum_mkenii_PAFTOL031693,226
Schizoglossum_atropurpureum_PAFTOL031806,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Schizoglossum_atropurpureum_PAFTOL031806,268
Solenostemma_oleifolium_PAFTOL031742,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Solenostemma_oleifolium_PAFTOL031742,280
Stathmostelma_gigantiflorum_PAFTOL031802,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Stathmostelma_gigantiflorum_PAFTOL031802,287
Stenostelma_capense_PAFTOL031790,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Stenostelma_capense_PAFTOL031790,288
Woodia_mucronata_PAFTOL027241,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Woodia_mucronata_PAFTOL027241,324
Xysmalobium_undulatum_PAFTOL031746,Asclepiadoideae_Asclepiadeae_Asclepiadinae_Xysmalobium_undulatum_PAFTOL031746,325
Microloma_sagittatum_PAFTOL031770,Asclepiadoideae_Asclepiadeae_Astephaninae_Microloma_sagittatum_PAFTOL031770,170
Oncinema_lineare_PAFTOL031774,Asclepiadoideae_Asclepiadeae_Astephaninae_Oncinema_lineare_PAFTOL031774,202
Cynanchum_gracillimum_PAFTOL025271,Asclepiadoideae_Asclepiadeae_Cynanchinae_Cynanchum_gracillimum_PAFTOL025271,77
Decanema_bojerianum_PAFTOL031789,Asclepiadoideae_Asclepiadeae_Cynanchinae_Cynanchum_luteifluens_PAFTOL031789,80
Schizostephanus_alatus_PAFTOL031787,Asclepiadoideae_Asclepiadeae_Cynanchinae_Schizostephanus_alatus_PAFTOL031787,269
Anemotrochus_eggersii_PAFTOL031699,Asclepiadoideae_Asclepiadeae_Gonolobinae_Anemotrochus_eggersii_PAFTOL031699,15
Chloropetalum_denticulatum_PAFTOL031729,Asclepiadoideae_Asclepiadeae_Gonolobinae_Chloropetalum_denticulatum_PAFTOL031729,59
Cynanchum_laeve_PAFTOL031815,Asclepiadoideae_Asclepiadeae_Gonolobinae_Chthamalia_producta_PAFTOL031815,78
Cristobalia_bella_PAFTOL027243,Asclepiadoideae_Asclepiadeae_Gonolobinae_Cristobalia_bella_PAFTOL027243,71
Fischeria_scandens_PAFTOL031817,Asclepiadoideae_Asclepiadeae_Gonolobinae_Fischeria_scandens_PAFTOL031817,112
Gonolobus_barbatus_PAFTOL031800,Asclepiadoideae_Asclepiadeae_Gonolobinae_Gonolobus_barbatus_PAFTOL031800,126
Ibatia_demuneri_PAFTOL027245,Asclepiadoideae_Asclepiadeae_Gonolobinae_Ibatia_demuneri_PAFTOL027245,137
Lachnostoma_ecuadorense_PAFTOL027247,Asclepiadoideae_Asclepiadeae_Gonolobinae_Lachnostoma_ecuadorense_PAFTOL027247,146
Macroscepis_sp_PAFTOL031738,Asclepiadoideae_Asclepiadeae_Gonolobinae_Macroscepis_sp_PAFTOL031738,161
Peruviasclepias_aliciae_PAFTOL031791,Asclepiadoideae_Asclepiadeae_Gonolobinae_Peruviasclepias_aliciae_PAFTOL031791,227
Phaeostemma_kelleri_PAFTOL031813,Asclepiadoideae_Asclepiadeae_Gonolobinae_Phaeostemma_kelleri_PAFTOL031813,229
Pherotrichis_sp_PAFTOL031757,Asclepiadoideae_Asclepiadeae_Gonolobinae_Pherotrichis_sp_PAFTOL031757,230
Polystemma_scopulorum_PAFTOL031694,Asclepiadoideae_Asclepiadeae_Gonolobinae_Polystemma_scopulorum_PAFTOL031694,242
Pruskortizia_macrocarpa_PAFTOL027249,Asclepiadoideae_Asclepiadeae_Gonolobinae_Pruskortizia_macrocarpa_PAFTOL027249,244
Rhytidostemma_sp_PAFTOL027335,Asclepiadoideae_Asclepiadeae_Gonolobinae_Rhytidostemma_sp_PAFTOL027335,257
Riparoampelos_amazonicus_PAFTOL031818,Asclepiadoideae_Asclepiadeae_Gonolobinae_Riparoampelos_amazonicus_PAFTOL031818,260
Rojasia_gracilis_PAFTOL027337,Asclepiadoideae_Asclepiadeae_Gonolobinae_Rojasia_gracilis_PAFTOL027337,261
